ut, aviones, 10^-6s
10, 500, 1
20, 500, 2
30, 500, 2
40, 500, 3
50, 500, 4
60, 500, 6
70, 500, 8
80, 500, 11
90, 500, 12
100, 500, 15
110, 500, 18
120, 500, 21
130, 500, 25
140, 500, 28
150, 500, 33
160, 500, 37
170, 500, 41
180, 500, 45
190, 500, 50
200, 500, 57
210, 500, 61
220, 500, 67
230, 500, 74
240, 500, 81
250, 500, 88
260, 500, 94
270, 500, 108
280, 500, 107
290, 500, 117
300, 500, 123
310, 500, 134
320, 500, 140
330, 500, 162
340, 500, 158
350, 500, 165
360, 500, 325
370, 500, 188
380, 500, 193
390, 500, 211
400, 500, 213
410, 500, 219
420, 500, 244
430, 500, 245
440, 500, 274
450, 500, 286
460, 500, 292
470, 500, 295
480, 500, 314
490, 500, 325
500, 500, 338
510, 500, 329
520, 500, 334
530, 500, 340
540, 500, 330
550, 500, 466
560, 500, 333
570, 500, 330
580, 500, 328
590, 500, 324
600, 500, 331
610, 500, 327
620, 500, 329
630, 500, 321
640, 500, 318
650, 500, 331
660, 500, 310
670, 500, 318
680, 500, 308
690, 500, 313
700, 500, 334
710, 500, 321
720, 500, 314
730, 500, 309
740, 500, 310
750, 500, 564
760, 500, 317
770, 500, 305
780, 500, 311
790, 500, 316
800, 500, 318
810, 500, 308
820, 500, 309
830, 500, 306
840, 500, 313
850, 500, 318
860, 500, 316
870, 500, 299
880, 500, 316
890, 500, 476
900, 500, 326
910, 500, 301
920, 500, 322
930, 500, 291
940, 500, 337
950, 500, 305
960, 500, 308
970, 500, 304
980, 500, 311
990, 500, 292
1000, 500, 289
1010, 500, 312
1020, 500, 318
1030, 500, 286
1040, 500, 303
1050, 500, 304
1060, 500, 294
1070, 500, 294
1080, 500, 299
1090, 500, 294
1100, 500, 299
