1, 1e-06, 4.3e-05, 2e-06, 5e-06, 8e-06, 1.6e-05, 2.6e-05, 5.7e-05, 8.9e-05, 0.000238, 0.000434, 0.000858, 0.00161, 0.003482, 0.006516, 
2, -, 2e-06, 2e-06, 4e-06, 9e-06, 1.7e-05, 3.4e-05, 6.6e-05, 0.000131, 0.000254, 0.000508, 0.00106, 0.002185, 0.004577, 0.010514, 
4, -, -, 1.3e-05, 1e-05, 1.7e-05, 3.6e-05, 7.1e-05, 0.000158, 0.000273, 0.000584, 0.001131, 0.0023, 0.004114, 0.006907, 0.015354, 
8, -, -, -, 1.7e-05, 2.7e-05, 5.2e-05, 0.000118, 0.000188, 0.000353, 0.129046, 0.001963, 0.003849, 0.00623, 0.011577, 0.022371, 
16, -, -, -, -, 4.7e-05, 0.0001, 0.000181, 0.000311, 0.000632, 0.001187, 0.002418, 0.005612, 0.011756, 0.02065, 0.046508, 
32, -, -, -, -, -, 0.000195, 0.000377, 0.000905, 0.001473, 0.003116, 0.006788, 0.014062, 0.027435, 0.039407, 0.083673, 
64, -, -, -, -, -, -, 0.000651, 0.001384, 0.003056, 0.006904, 0.014215, 0.025296, 0.04457, 0.086912, 0.201322, 
128, -, -, -, -, -, -, -, 0.003996, 0.006536, 0.013705, 0.027589, 0.053042, 0.104586, 0.24027, 0.456764, 
256, -, -, -, -, -, -, -, -, 0.01381, 0.027424, 0.047559, 0.112029, 0.211005, 0.397785, 0.815451, 
512, -, -, -, -, -, -, -, -, -, 0.05146, 0.104263, 0.209157, 0.381192, 0.789976, 1.5736, 
1024, -, -, -, -, -, -, -, -, -, -, 0.197097, 0.420356, 0.822106, 1.51694, 3.08886, 
