Size, Caso Base, Clasica, noRapida, Karat
8, 1, 0.000108, 0.000577, 0.000288
16, 1, 0.000321, 0.001479, 0.000909
32, 1, 0.001222, 0.006273, 0.002818
64, 1, 0.004276, 0.023903, 0.008363
128, 1, 0.016283, 0.106785, 0.026871
256, 1, 0.063355, 0.383128, 0.080321
512, 1, 0.261052, 1.5217, 0.274186
512, 2, 0.276904, 0.848226, 0.160258
512, 4, 0.261484, 0.538835, 0.118498
512, 8, 0.272934, 0.400426, 0.100124
512, 16, 0.263697, 0.320704, 0.09188
512, 32, 0.276186, 0.287293, 0.102345
512, 64, 0.269055, 0.269274, 0.118703
512, 128, 0.264548, 0.273659, 0.151619
512, 256, 0.265763, 0.27372, 0.214924
512, 512, 0.2868, 0.268485, 0.267111
1024, 1, 1.15443, 6.26824, 0.736864
1024, 2, 1.1121, 3.49498, 0.500231
1024, 4, 1.15931, 2.22199, 0.369349
1024, 8, 1.12662, 1.57893, 0.308126
1024, 16, 1.14415, 1.32034, 0.288383
1024, 32, 1.12964, 1.16346, 0.317691
1024, 64, 1.14356, 1.12242, 0.365044
1024, 128, 1.10517, 1.11794, 0.479167
1024, 256, 1.18691, 1.08361, 0.651629
1024, 512, 1.12392, 1.12295, 0.825471
2048, 1, 4.7742, 24.6668, 2.20697
2048, 2, 4.61388, 13.868, 1.46071
2048, 4, 4.71394, 9.1269, 1.1903
2048, 8, 4.6899, 6.27908, 0.903364
2048, 16, 4.51312, 5.18509, 0.865813
2048, 32, 4.51667, 4.60421, 0.939331
2048, 64, 4.52219, 4.38228, 1.10411
2048, 128, 4.5356, 4.28579, 1.40593
2048, 256, 4.49948, 4.32176, 1.83091
2048, 512, 4.4981, 4.40035, 2.4613
4096, 1, 19.8606, 98.2112, 6.70406
4096, 2, 18.1183, 53.6333, 4.34241
4096, 4, 19.4384, 34.3673, 3.25061
4096, 8, 19.5953, 25.1752, 2.74527
4096, 16, 19.7122, 20.6741, 2.63621
4096, 32, 19.6215, 18.5526, 2.83565
4096, 64, 19.4874, 17.7637, 3.4324
4096, 128, 19.5717, 17.4986, 4.32506
4096, 256, 19.6117, 17.8012, 5.73071
4096, 512, 19.7142, 18.265, 7.76165
8192, 1, 103.68, 392.471, 20.2279
8192, 2, 74.3245, 216.518, 13.4238
8192, 4, 101.196, 140.08, 10.1218
8192, 8, 103.351, 102.569, 8.60137
8192, 16, 103.269, 84.8041, 8.26597
8192, 32, 103.176, 74.6034, 13.829
8192, 64, 104.406, 73.0242, 10.5198
8192, 128, 97.8491, 73.1017, 13.5895
8192, 256, 98.0722, 75.4463, 18.2713
8192, 512, 97.7246, 78.3775, 24.9458
16384, 1, 610.968, 1568.97, 61.1778
16384, 2, 353.224, 878.158, 40.7559
16384, 4, 596.642, 562.164, 30.7967
16384, 8, 642.452, 410.67, 26.0672
16384, 16, 621.465, 342.045, 25.694
16384, 32, 724.51, 313.958, 28.0577
16384, 64, 717.418, 307.901, 33.7391
16384, 128, 701.892, 314.362, 44.1149
16384, 256, 693.932, 327.302, 59.9494
16384, 512, 703.382, 341.956, 82.2197
